state,district,scenario,year,risk_rank,overall_risk_score,overall_risk_class,flood_hazard_score,drought_hazard_score,ag_stress_score
TELANGANA,MANCHERIAL,ssp245,2035,37,13.4,Low Risk,37.91,0.37,0.0
BIHAR,MADHUBANI,ssp245,2035,38,13.31,Low Risk,33.68,4.35,0.0
MAHARASHTRA,WASHIM,ssp245,2035,39,13.18,Low Risk,33.42,4.24,0.0
MAHARASHTRA,BULDHANA,ssp245,2035,40,12.48,Low Risk,29.48,6.18,0.0
TELANGANA,JAYASHANKAR BHUPALPALLI,ssp245,2035,41,12.4,Low Risk,35.42,0.0,0.0
MAHARASHTRA,YAVATMAL,ssp245,2035,42,12.3,Low Risk,31.55,3.59,0.0
TELANGANA,MULUGU,ssp245,2035,43,11.78,Low Risk,33.67,0.0,0.0
BIHAR,MUNGER,ssp245,2035,44,11.77,Low Risk,31.94,1.68,0.0
MAHARASHTRA,JALGAON,ssp245,2035,45,11.76,Low Risk,28.27,5.33,0.0
BIHAR,BHOJPUR,ssp245,2035,46,11.2,Low Risk,14.03,17.96,0.0
BIHAR,AURANGABAD,ssp245,2035,47,11.09,Low Risk,29.73,1.95,0.0
BIHAR,DARBHANGA,ssp245,2035,48,10.98,Low Risk,26.77,4.6,0.0
MAHARASHTRA,DHULE,ssp245,2035,49,10.82,Low Risk,24.78,6.14,0.0
BIHAR,KHAGARIA,ssp245,2035,50,10.66,Low Risk,28.38,2.08,0.0
TELANGANA,ADILABAD,ssp245,2035,51,10.62,Low Risk,28.59,1.74,0.0
BIHAR,SITAMARHI,ssp245,2035,52,10.46,Low Risk,25.95,3.94,0.0
MAHARASHTRA,AHILYANAGAR,ssp245,2035,53,10.43,Low Risk,22.47,7.32,0.0
BIHAR,KATIHAR,ssp245,2035,54,10.43,Low Risk,28.63,1.16,0.0
BIHAR,ROHTAS,ssp245,2035,55,10.3,Low Risk,27.1,2.32,0.0
MAHARASHTRA,HINGOLI,ssp245,2035,56,10.16,Low Risk,23.06,5.98,0.0
BIHAR,PATNA,ssp245,2035,57,10.1,Low Risk,14.32,14.54,0.0
TELANGANA,PEDDAPALLI,ssp245,2035,58,10.05,Low Risk,28.41,0.31,0.0
BIHAR,KAIMUR (BHABUA),ssp245,2035,59,9.99,Low Risk,26.05,2.5,0.0
BIHAR,BANKA,ssp245,2035,60,9.97,Low Risk,24.94,3.54,0.0
BIHAR,SHEOHAR,ssp245,2035,61,9.88,Low Risk,23.77,4.47,0.0
MAHARASHTRA,JALNA,ssp245,2035,62,9.83,Low Risk,22.06,6.03,0.0
BIHAR,BEGUSARAI,ssp245,2035,63,9.76,Low Risk,20.06,7.82,0.0
TELANGANA,KARIMNAGAR,ssp245,2035,64,9.7,Low Risk,27.49,0.23,0.0
BIHAR,ARWAL,ssp245,2035,65,9.52,Low Risk,24.59,2.61,0.0
MAHARASHTRA,CHHATRAPATI SAMBHAJI NAGAR,ssp245,2035,66,9.25,Low Risk,17.98,8.46,0.0
BIHAR,LAKHISARAI,ssp245,2035,67,8.75,Low Risk,23.65,1.34,0.0
BIHAR,SAMASTIPUR,ssp245,2035,68,8.65,Low Risk,21.86,2.86,0.0
TELANGANA,JOGULAMBA GADWAL,ssp245,2035,69,8.57,Low Risk,0.07,10.84,15.85
BIHAR,JAMUI,ssp245,2035,70,8.52,Low Risk,23.24,1.11,0.0
TELANGANA,JAGTIAL,ssp245,2035,71,8.14,Low Risk,23.27,0.0,0.0
BIHAR,GAYA,ssp245,2035,72,7.65,Low Risk,20.49,1.38,0.0
BIHAR,JEHANABAD,ssp245,2035,73,7.37,Low Risk,19.23,1.82,0.0
TELANGANA,KAMAREDDY,ssp245,2035,74,7.31,Low Risk,19.33,1.56,0.0
TELANGANA,NIRMAL,ssp245,2035,75,7.22,Low Risk,20.21,0.41,0.0
BIHAR,SHEIKHPURA,ssp245,2035,76,7.09,Low Risk,18.19,2.07,0.0
TELANGANA,KHAMMAM,ssp245,2035,77,6.99,Low Risk,11.32,3.08,6.49
BIHAR,NAWADA,ssp245,2035,78,6.79,Low Risk,17.94,1.45,0.0
TELANGANA,MEDAK,ssp245,2035,79,6.69,Low Risk,19.12,0.0,0.0
TELANGANA,HANUMAKONDA,ssp245,2035,80,6.63,Low Risk,18.93,0.0,0.0
TELANGANA,SANGAREDDY,ssp245,2035,81,6.57,Low Risk,17.32,1.44,0.0
MAHARASHTRA,NANDED,ssp245,2035,82,6.48,Low Risk,16.12,2.38,0.0
TELANGANA,MEDCHAL-MALKAJGIRI,ssp245,2035,83,6.19,Low Risk,17.56,0.14,0.0
MAHARASHTRA,PARBHANI,ssp245,2035,84,6.02,Low Risk,14.96,2.24,0.0
BIHAR,NALANDA,ssp245,2035,85,5.97,Low Risk,14.67,2.38,0.0
TELANGANA,RAJANNA SIRCILLA,ssp245,2035,86,5.89,Low Risk,16.83,0.0,0.0
TELANGANA,WARANGAL,ssp245,2035,87,5.87,Low Risk,15.73,1.04,0.0
TELANGANA,NIZAMABAD,ssp245,2035,88,5.76,Low Risk,16.36,0.1,0.0
TELANGANA,SIDDIPET,ssp245,2035,89,5.18,Low Risk,14.68,0.11,0.0
MAHARASHTRA,LATUR,ssp245,2035,90,5.05,Low Risk,11.96,2.47,0.0
TELANGANA,YADADRI BHUVANAGIRI,ssp245,2035,91,4.99,Low Risk,12.57,1.68,0.0
TELANGANA,JANGAON,ssp245,2035,92,4.86,Low Risk,12.68,1.2,0.0
TELANGANA,MAHABUBABAD,ssp245,2035,93,4.38,Low Risk,12.44,0.07,0.0
TELANGANA,VIKARABAD,ssp245,2035,94,4.03,Low Risk,8.23,3.27,0.0
TELANGANA,RANGA REDDY,ssp245,2035,95,3.66,Low Risk,7.7,2.76,0.0
MAHARASHTRA,BEED,ssp245,2035,96,3.5,Low Risk,6.69,3.3,0.0
TELANGANA,NALGONDA,ssp245,2035,97,3.28,Low Risk,6.38,2.98,0.0
TELANGANA,SURYAPET,ssp245,2035,98,3.02,Low Risk,5.75,2.89,0.0
MAHARASHTRA,DHARASHIV,ssp245,2035,99,2.78,Low Risk,4.9,3.03,0.0
MAHARASHTRA,SOLAPUR,ssp245,2035,100,2.31,Low Risk,3.13,3.47,0.0
TELANGANA,NAGARKURNOOL,ssp245,2035,101,2.01,Low Risk,3.19,2.55,0.0
TELANGANA,NARAYANPET,ssp245,2035,102,1.92,Low Risk,1.25,4.25,0.0
TELANGANA,MAHBUBNAGAR,ssp245,2035,103,1.41,Low Risk,0.0,4.03,0.0
TELANGANA,WANAPARTHY,ssp245,2035,104,1.39,Low Risk,1.18,2.78,0.0
MAHARASHTRA,MUMBAI,ssp245,2035,105,,Low Risk,97.08,,0.0
MAHARASHTRA,MUMBAI SUBURBAN,ssp245,2035,106,,Low Risk,99.0,,0.0
TELANGANA,HYDERABAD,ssp245,2035,107,,Low Risk,15.82,,0.0
MAHARASHTRA,SINDHUDURG,ssp245,2040,1,84.36,Very High Risk,99.42,87.61,63.0
MAHARASHTRA,RATNAGIRI,ssp245,2040,2,83.82,Very High Risk,100.0,88.09,59.97
