state,district,scenario,year,risk_rank,overall_risk_score,overall_risk_class,flood_hazard_score,drought_hazard_score,ag_stress_score
BIHAR,SHEIKHPURA,ssp585,2040,40,46.85,Moderate Risk,18.58,42.04,85.46
TELANGANA,VIKARABAD,ssp585,2040,41,46.54,Moderate Risk,8.97,43.11,94.38
BIHAR,ARWAL,ssp585,2040,42,46.39,Moderate Risk,24.81,39.68,79.38
MAHARASHTRA,CHHATRAPATI SAMBHAJI NAGAR,ssp585,2040,43,46.22,Moderate Risk,17.62,45.74,80.15
TELANGANA,NAGARKURNOOL,ssp585,2040,44,45.98,Moderate Risk,3.18,42.49,100.0
TELANGANA,NARAYANPET,ssp585,2040,45,45.98,Moderate Risk,1.52,44.14,100.0
BIHAR,GAYA,ssp585,2040,46,45.83,Moderate Risk,20.72,39.77,82.18
TELANGANA,JAYASHANKAR BHUPALPALLI,ssp585,2040,47,45.55,Moderate Risk,35.76,33.35,71.2
MAHARASHTRA,JALGAON,ssp585,2040,48,45.4,Moderate Risk,28.21,39.04,72.86
BIHAR,PASHCHIM CHAMPARAN,ssp585,2040,49,45.21,Moderate Risk,39.95,33.56,64.95
TELANGANA,JOGULAMBA GADWAL,ssp585,2040,50,45.18,Moderate Risk,0.04,43.32,100.0
BIHAR,BHAGALPUR,ssp585,2040,51,44.87,Moderate Risk,27.87,45.45,64.01
MAHARASHTRA,BULDHANA,ssp585,2040,52,44.71,Moderate Risk,29.16,38.63,69.95
BIHAR,NAWADA,ssp585,2040,53,44.69,Moderate Risk,18.18,39.61,81.55
TELANGANA,KHAMMAM,ssp585,2040,54,44.65,Moderate Risk,11.93,40.0,88.24
BIHAR,KAIMUR (BHABUA),ssp585,2040,55,44.4,Moderate Risk,26.32,37.08,74.03
MAHARASHTRA,AMRAVATI,ssp585,2040,56,44.32,Moderate Risk,42.54,32.29,60.44
MAHARASHTRA,DHARASHIV,ssp585,2040,57,44.19,Moderate Risk,5.57,42.95,90.68
BIHAR,MUZAFFARPUR,ssp585,2040,58,44.02,Moderate Risk,23.58,53.02,57.37
TELANGANA,ADILABAD,ssp585,2040,59,43.9,Moderate Risk,29.3,35.02,71.31
MAHARASHTRA,NANDURBAR,ssp585,2040,60,43.66,Moderate Risk,33.98,37.41,62.24
TELANGANA,NALGONDA,ssp585,2040,61,43.43,Moderate Risk,6.88,42.84,86.76
MAHARASHTRA,SOLAPUR,ssp585,2040,62,43.18,Moderate Risk,3.29,43.43,89.42
MAHARASHTRA,AKOLA,ssp585,2040,63,42.13,Moderate Risk,38.38,32.51,57.74
BIHAR,BHOJPUR,ssp585,2040,64,42.11,Moderate Risk,14.2,47.31,68.59
BIHAR,ROHTAS,ssp585,2040,65,41.94,Moderate Risk,27.36,34.11,68.07
MAHARASHTRA,BHANDARA,ssp585,2040,66,41.89,Moderate Risk,43.72,27.35,56.71
TELANGANA,WANAPARTHY,ssp585,2040,67,41.74,Moderate Risk,1.21,42.58,88.03
BIHAR,NALANDA,ssp585,2040,68,40.46,Moderate Risk,14.99,37.08,74.12
BIHAR,PATNA,ssp585,2040,69,39.68,Moderate Risk,14.49,41.86,66.52
MAHARASHTRA,JALNA,ssp585,2040,70,39.12,Moderate Risk,21.56,35.61,63.7
MAHARASHTRA,AHILYANAGAR,ssp585,2040,71,39.04,Moderate Risk,22.71,36.13,61.49
MAHARASHTRA,NASHIK,ssp585,2040,72,38.94,Moderate Risk,44.26,30.14,43.0
MAHARASHTRA,LATUR,ssp585,2040,73,37.14,Moderate Risk,12.61,34.68,68.64
BIHAR,SHEOHAR,ssp585,2040,74,37.14,Moderate Risk,24.23,31.88,58.34
BIHAR,JEHANABAD,ssp585,2040,75,36.94,Moderate Risk,19.5,31.48,63.65
MAHARASHTRA,BEED,ssp585,2040,76,36.83,Moderate Risk,6.64,36.89,71.97
MAHARASHTRA,WARDHA,ssp585,2040,77,35.38,Moderate Risk,40.62,23.13,43.55
BIHAR,LAKHISARAI,ssp585,2040,78,33.96,Moderate Risk,24.11,26.59,54.04
MAHARASHTRA,PARBHANI,ssp585,2040,79,33.94,Moderate Risk,15.13,30.25,60.2
BIHAR,BEGUSARAI,ssp585,2040,80,33.83,Moderate Risk,20.22,29.11,55.23
BIHAR,SAMASTIPUR,ssp585,2040,81,31.53,Moderate Risk,22.11,25.3,49.8
MAHARASHTRA,NAGPUR,ssp585,2040,82,31.37,Moderate Risk,40.95,17.74,36.11
MAHARASHTRA,YAVATMAL,ssp585,2040,83,30.65,Moderate Risk,31.79,21.93,39.49
TELANGANA,SANGAREDDY,ssp585,2040,84,28.38,Moderate Risk,18.25,23.1,46.35
TELANGANA,MAHBUBNAGAR,ssp585,2040,85,27.68,Moderate Risk,0.1,30.45,56.61
TELANGANA,WARANGAL,ssp585,2040,86,26.76,Moderate Risk,16.12,21.93,44.81
MAHARASHTRA,WASHIM,ssp585,2040,87,25.83,Moderate Risk,33.59,16.75,27.38
TELANGANA,MAHABUBABAD,ssp585,2040,88,22.67,Low Risk,12.92,18.32,39.12
MAHARASHTRA,HINGOLI,ssp585,2040,89,22.36,Low Risk,23.48,17.9,26.24
BIHAR,VAISHALI,ssp585,2040,90,22.14,Low Risk,13.31,41.92,9.37
TELANGANA,YADADRI BHUVANAGIRI,ssp585,2040,91,21.53,Low Risk,13.22,18.05,35.29
TELANGANA,HANUMAKONDA,ssp585,2040,92,18.36,Low Risk,19.42,11.67,24.92
MAHARASHTRA,NANDED,ssp585,2040,93,15.3,Low Risk,16.66,10.94,18.81
TELANGANA,SURYAPET,ssp585,2040,94,14.57,Low Risk,6.22,14.27,24.66
TELANGANA,NIRMAL,ssp585,2040,95,14.35,Low Risk,20.81,7.27,15.07
TELANGANA,JANGAON,ssp585,2040,96,11.74,Low Risk,13.21,7.9,14.52
TELANGANA,PEDDAPALLI,ssp585,2040,97,11.12,Low Risk,28.8,1.15,2.11
TELANGANA,KARIMNAGAR,ssp585,2040,98,9.86,Low Risk,28.07,0.09,0.0
TELANGANA,JAGTIAL,ssp585,2040,99,8.51,Low Risk,23.69,0.22,0.48
TELANGANA,KAMAREDDY,ssp585,2040,100,7.56,Low Risk,20.07,1.52,0.0
TELANGANA,MEDAK,ssp585,2040,101,7.02,Low Risk,20.05,0.0,0.0
TELANGANA,RAJANNA SIRCILLA,ssp585,2040,102,6.05,Low Risk,17.28,0.0,0.0
TELANGANA,NIZAMABAD,ssp585,2040,103,5.91,Low Risk,16.9,0.0,0.0
TELANGANA,SIDDIPET,ssp585,2040,104,5.32,Low Risk,15.21,0.0,0.0
MAHARASHTRA,MUMBAI,ssp585,2040,105,,Low Risk,97.36,,64.1
MAHARASHTRA,MUMBAI SUBURBAN,ssp585,2040,106,,Low Risk,99.15,,60.49
TELANGANA,HYDERABAD,ssp585,2040,107,,Low Risk,16.64,,81.56
