scenario,year,flood_risk_rank,state,district,scenario,year,overall_risk_score,overall_risk_class,flood_hazard_score,flood_hazard_class,drought_hazard_score,drought_hazard_class,ag_stress_score,ag_stress_class,water_availability_index,temperature_change,rainfall_change
ssp585,2030,12,MAHARASHTRA,NASHIK,ssp585,2030,18.99,Low Risk,44.48,Moderate,9.78,Low,0.0,Low,1.0521,0.5620917340119711,6.85
ssp585,2030,13,TELANGANA,KUMURAM BHEEM,ssp585,2030,22.12,Low Risk,43.31,Moderate,8.6,Low,13.17,Low,1.044,0.5445556435320278,6.02
ssp585,2030,14,MAHARASHTRA,BHANDARA,ssp585,2030,15.36,Low Risk,42.96,Moderate,0.94,Low,0.0,Low,1.0442,0.5647395908832558,5.45
ssp585,2030,15,MAHARASHTRA,AMRAVATI,ssp585,2030,15.99,Low Risk,41.8,Moderate,3.88,Low,0.0,Low,1.0539,0.5620101286305321,6.51
ssp585,2030,16,MAHARASHTRA,GONDIA,ssp585,2030,17.29,Low Risk,40.76,Moderate,3.43,Low,6.09,Low,1.0343,0.5917816784647016,4.55
ssp585,2030,17,BIHAR,SUPAUL,ssp585,2030,21.48,Low Risk,40.57,Moderate,20.8,Low,0.0,Low,1.0432,0.6954428944322857,7.03
ssp585,2030,18,MAHARASHTRA,NAGPUR,ssp585,2030,14.36,Low Risk,40.08,Moderate,0.95,Low,0.0,Low,1.0543,0.5426974952221031,6.89
ssp585,2030,19,MAHARASHTRA,WARDHA,ssp585,2030,14.9,Low Risk,39.8,Moderate,2.78,Low,0.0,Low,1.0631,0.5233064850171616,7.7
ssp585,2030,20,MAHARASHTRA,GADCHIROLI,ssp585,2030,16.44,Low Risk,39.74,Moderate,3.3,Low,4.6,Low,1.0184,0.6022818942864838,2.93
ssp585,2040,1,MAHARASHTRA,RATNAGIRI,ssp585,2040,100.0,Very High Risk,100.0,Very High,100.0,Very High,100.0,Severe,1.0414,1.5278515418370595,7.74
ssp585,2040,2,MAHARASHTRA,PALGHAR,ssp585,2040,82.36,Very High Risk,100.0,Very High,60.1,High,87.74,Severe,1.057,1.500989811287991,9.37
ssp585,2040,3,MAHARASHTRA,SINDHUDURG,ssp585,2040,99.14,Very High Risk,99.42,Very High,98.11,Very High,100.0,Severe,1.0433,1.510854793919475,8.08
ssp585,2040,4,MAHARASHTRA,MUMBAI SUBURBAN,ssp585,2040,,Low Risk,99.15,Very High,,Low,60.49,High,1.0451,,7.45
ssp585,2040,5,MAHARASHTRA,RAIGAD,ssp585,2040,98.13,Very High Risk,98.92,Very High,100.0,Very High,95.03,Severe,1.041,1.5352134870158458,7.24
ssp585,2040,6,MAHARASHTRA,MUMBAI,ssp585,2040,,Low Risk,97.36,Very High,,Low,64.1,High,1.0405,,6.86
ssp585,2040,7,MAHARASHTRA,THANE,ssp585,2040,74.79,High Risk,97.18,Very High,47.63,Moderate,80.34,Severe,1.0515,1.500989811287991,8.42
ssp585,2040,8,MAHARASHTRA,KOLHAPUR,ssp585,2040,70.11,High Risk,65.47,High,49.12,Moderate,100.0,Severe,1.0438,1.482565144697834,7.88
ssp585,2040,9,BIHAR,KISHANGANJ,ssp585,2040,83.9,Very High Risk,62.47,High,91.54,Very High,100.0,Severe,1.0344,,7.84
ssp585,2040,10,BIHAR,ARARIA,ssp585,2040,63.27,High Risk,48.89,Moderate,55.17,High,89.48,Severe,1.0552,1.7181666923894,9.91
ssp585,2040,11,MAHARASHTRA,SATARA,ssp585,2040,61.63,High Risk,46.66,Moderate,47.3,Moderate,95.81,Severe,1.0441,1.5314131809605562,7.73
ssp585,2040,12,TELANGANA,KUMURAM BHEEM,ssp585,2040,60.28,High Risk,44.31,Moderate,42.2,Moderate,100.0,Severe,1.0531,1.4445556435320277,8.63
ssp585,2040,13,MAHARASHTRA,NASHIK,ssp585,2040,38.94,Moderate Risk,44.26,Moderate,30.14,Moderate,43.0,Moderate,1.0612,1.462091734011971,9.48
ssp585,2040,14,MAHARASHTRA,BHANDARA,ssp585,2040,41.89,Moderate Risk,43.72,Moderate,27.35,Moderate,56.71,High,1.053,1.4647395908832557,8.05
ssp585,2040,15,BIHAR,SUPAUL,ssp585,2040,51.87,High Risk,43.23,Moderate,44.44,Moderate,70.63,High,1.0526,1.5954428944322856,9.67
ssp585,2040,16,MAHARASHTRA,AMRAVATI,ssp585,2040,44.32,Moderate Risk,42.54,Moderate,32.29,Moderate,60.44,High,1.0629,1.462010128630532,9.13
ssp585,2040,17,MAHARASHTRA,GONDIA,ssp585,2040,49.25,Moderate Risk,41.96,Moderate,35.11,Moderate,74.24,High,1.0431,1.4917816784647016,7.13
ssp585,2040,18,MAHARASHTRA,NAGPUR,ssp585,2040,31.37,Moderate Risk,40.95,Moderate,17.74,Low,36.11,Moderate,1.0634,1.442697495222103,9.53
ssp585,2040,19,MAHARASHTRA,WARDHA,ssp585,2040,35.38,Moderate Risk,40.62,Moderate,23.13,Low,43.55,Moderate,1.0723,1.4233064850171615,10.35
ssp585,2040,20,BIHAR,PASHCHIM CHAMPARAN,ssp585,2040,45.21,Moderate Risk,39.95,Moderate,33.56,Moderate,64.95,High,1.0297,1.5746807422902982,5.83
