scenario,year,overall_risk_rank,state,district,scenario,year,overall_risk_score,overall_risk_class,flood_hazard_score,flood_hazard_class,drought_hazard_score,drought_hazard_class,ag_stress_score,ag_stress_class,water_availability_index,temperature_change,rainfall_change
ssp585,2030,19,TELANGANA,BHADRADRI KOTHAGUDEM,ssp585,2030,24.45,Low Risk,21.08,Low,18.66,Low,35.12,Moderate,1.0196,0.5507238268852348,2.91
ssp585,2030,20,BIHAR,PURBA CHAMPARAN,ssp585,2030,24.13,Low Risk,25.09,Moderate,43.86,Moderate,0.0,Low,1.0183,0.632389730215084,3.07
ssp585,2040,1,MAHARASHTRA,RATNAGIRI,ssp585,2040,100.0,Very High Risk,100.0,Very High,100.0,Very High,100.0,Severe,1.0414,1.5278515418370595,7.74
ssp585,2040,2,MAHARASHTRA,SINDHUDURG,ssp585,2040,99.14,Very High Risk,99.42,Very High,98.11,Very High,100.0,Severe,1.0433,1.510854793919475,8.08
ssp585,2040,3,MAHARASHTRA,RAIGAD,ssp585,2040,98.13,Very High Risk,98.92,Very High,100.0,Very High,95.03,Severe,1.041,1.5352134870158458,7.24
ssp585,2040,4,BIHAR,KISHANGANJ,ssp585,2040,83.9,Very High Risk,62.47,High,91.54,Very High,100.0,Severe,1.0344,,7.84
ssp585,2040,5,MAHARASHTRA,PALGHAR,ssp585,2040,82.36,Very High Risk,100.0,Very High,60.1,High,87.74,Severe,1.057,1.500989811287991,9.37
ssp585,2040,6,MAHARASHTRA,THANE,ssp585,2040,74.79,High Risk,97.18,Very High,47.63,Moderate,80.34,Severe,1.0515,1.500989811287991,8.42
ssp585,2040,7,MAHARASHTRA,KOLHAPUR,ssp585,2040,70.11,High Risk,65.47,High,49.12,Moderate,100.0,Severe,1.0438,1.482565144697834,7.88
ssp585,2040,8,BIHAR,ARARIA,ssp585,2040,63.27,High Risk,48.89,Moderate,55.17,High,89.48,Severe,1.0552,1.7181666923894,9.91
ssp585,2040,9,MAHARASHTRA,SATARA,ssp585,2040,61.63,High Risk,46.66,Moderate,47.3,Moderate,95.81,Severe,1.0441,1.5314131809605562,7.73
ssp585,2040,10,TELANGANA,KUMURAM BHEEM,ssp585,2040,60.28,High Risk,44.31,Moderate,42.2,Moderate,100.0,Severe,1.0531,1.4445556435320277,8.63
ssp585,2040,11,BIHAR,SAHARSA,ssp585,2040,59.81,High Risk,28.62,Moderate,56.54,High,100.0,Severe,1.0374,,8.34
ssp585,2040,12,BIHAR,GOPALGANJ,ssp585,2040,58.61,High Risk,23.56,Low,81.27,Very High,73.05,High,1.0194,1.532389730215084,4.1
ssp585,2040,13,MAHARASHTRA,GADCHIROLI,ssp585,2040,58.08,High Risk,39.44,Moderate,40.8,Moderate,100.0,Severe,1.0271,1.5022818942864835,5.47
ssp585,2040,14,MAHARASHTRA,PUNE,ssp585,2040,58.06,High Risk,38.7,Moderate,48.44,Moderate,91.88,Severe,1.0427,1.5150857104195772,7.41
ssp585,2040,15,BIHAR,PURBA CHAMPARAN,ssp585,2040,57.15,High Risk,26.52,Moderate,71.67,High,75.93,Severe,1.027,1.532389730215084,5.6
ssp585,2040,16,TELANGANA,MULUGU,ssp585,2040,55.96,High Risk,34.16,Moderate,40.0,Moderate,100.0,Severe,1.0334,1.4426913128958858,6.29
ssp585,2040,17,BIHAR,SIWAN,ssp585,2040,55.05,High Risk,20.69,Low,83.4,Very High,62.05,High,1.0181,,3.89
ssp585,2040,18,BIHAR,MADHEPURA,ssp585,2040,54.97,High Risk,25.6,Moderate,59.56,High,83.88,Severe,1.0351,,7.69
ssp585,2040,19,BIHAR,MADHUBANI,ssp585,2040,54.66,High Risk,34.63,Moderate,44.48,Moderate,89.91,Severe,1.0452,1.5954428944322856,9.15
ssp585,2040,20,BIHAR,BANKA,ssp585,2040,54.21,High Risk,25.47,Moderate,43.71,Moderate,100.0,Severe,1.0185,,5.54
