district,scenario,overall_risk_2030,overall_risk_2035,overall_risk_2040,flood_risk_2030,flood_risk_2035,flood_risk_2040,drought_risk_2030,drought_risk_2035,drought_risk_2040,agstress_2030,agstress_2035,agstress_2040,temperature_change_2030,temperature_change_2035,temperature_change_2040,rainfall_change_2030,rainfall_change_2035,rainfall_change_2040
BEED,ssp585,11.32,26.56,36.83,6.75,6.69,6.64,11.25,26.59,36.89,16.72,49.71,71.97,,,,3.66,4.93,6.21
BHANDARA,ssp245,15.36,15.47,15.58,42.96,43.34,43.72,0.94,0.86,0.79,0.0,0.0,0.0,0.2647395908832557,0.5147395908832557,0.7647395908832557,5.45,6.75,8.05
BHANDARA,ssp585,15.36,23.65,41.89,42.96,43.34,43.72,0.94,9.12,27.35,0.0,17.62,56.71,0.5647395908832558,1.0147395908832555,1.4647395908832557,5.45,6.75,8.05
BULDHANA,ssp245,12.7,12.48,12.26,29.79,29.48,29.16,6.5,6.18,5.86,0.0,0.0,0.0,0.2870864517159077,0.5370864517159077,0.7870864517159077,3.97,5.25,6.53
BULDHANA,ssp585,12.7,22.64,44.71,29.79,29.48,29.16,6.5,16.43,38.63,0.0,21.89,69.95,0.5870864517159078,1.0370864517159075,1.4870864517159077,3.97,5.25,6.53
CHANDRAPUR,ssp245,13.74,13.71,13.67,37.23,37.29,37.34,2.03,1.87,1.72,0.0,0.0,0.0,0.2248515400621613,0.4748515400621613,0.7248515400621613,5.93,7.229999999999999,8.53
CHANDRAPUR,ssp585,13.74,21.11,50.38,37.23,37.29,37.34,2.03,9.34,38.78,0.0,15.95,79.11,0.5248515400621614,0.9748515400621612,1.4248515400621613,5.93,7.23,8.53
CHHATRAPATI SAMBHAJI NAGAR,ssp245,9.47,9.25,9.04,18.34,17.98,17.62,8.72,8.46,8.2,0.0,0.0,0.0,0.2599188599321671,0.5099188599321671,0.7599188599321671,3.05,4.32,5.59
CHHATRAPATI SAMBHAJI NAGAR,ssp585,14.0,24.67,46.22,18.34,17.98,17.62,13.29,24.02,45.74,9.77,33.22,80.15,0.5599188599321672,1.0099188599321671,1.459918859932167,3.05,4.32,5.59
DHARASHIV,ssp245,2.64,2.78,12.41,4.41,4.9,5.57,3.12,3.03,12.47,0.0,0.0,20.33,0.1848686118920852,0.4348686118920852,0.6848686118920853,5.74,7.04,8.34
DHARASHIV,ssp585,12.88,31.03,44.19,4.41,4.9,5.57,13.46,31.56,42.95,22.08,60.9,90.68,0.4848686118920852,0.9348686118920853,1.3848686118920852,5.74,7.04,8.34
DHULE,ssp245,10.94,10.82,13.89,24.81,24.78,24.74,6.44,6.14,9.06,0.0,0.0,6.86,0.2052773813406716,0.4552773813406716,0.7052773813406716,6.87,8.19,9.51
DHULE,ssp585,19.16,30.56,49.13,24.81,24.78,24.74,14.74,26.07,44.64,17.72,42.55,82.82,0.5052773813406717,0.9552773813406716,1.4052773813406716,6.87,8.19,9.51
GADCHIROLI,ssp245,14.31,14.2,14.26,39.74,39.59,39.44,1.14,0.97,0.98,0.0,0.0,0.38,0.3022818942864838,0.5522818942864838,0.8022818942864838,2.93,4.2,5.47
GADCHIROLI,ssp585,16.44,39.33,58.08,39.74,39.59,39.44,3.3,26.35,40.8,4.6,54.18,100.0,0.6022818942864838,1.0522818942864838,1.5022818942864835,2.93,4.2,5.47
GONDIA,ssp245,14.47,14.63,14.8,40.76,41.36,41.96,0.58,0.45,0.33,0.0,0.0,0.0,0.2917816784647016,0.5417816784647016,0.7917816784647016,4.55,5.84,7.13
GONDIA,ssp585,17.29,24.9,49.25,40.76,41.36,41.96,3.43,10.82,35.11,6.09,22.13,74.24,0.5917816784647016,1.0417816784647016,1.4917816784647016,4.55,5.84,7.13
HINGOLI,ssp245,10.15,10.16,10.18,22.64,23.06,23.48,6.36,5.98,5.61,0.0,0.0,0.0,,,,4.5,5.79,7.08
HINGOLI,ssp585,10.15,11.71,22.36,22.64,23.06,23.48,6.36,7.55,17.9,0.0,3.33,26.24,,,,4.5,5.79,7.08
JALGAON,ssp245,11.92,11.76,15.13,28.32,28.27,28.21,5.75,5.33,8.48,0.0,0.0,7.62,0.3006426241662723,0.5506426241662723,0.8006426241662723,4.67,5.96,7.25
JALGAON,ssp585,12.36,26.33,45.4,28.32,28.27,28.21,6.19,20.04,39.04,0.94,31.4,72.86,0.6006426241662723,1.0506426241662723,1.5006426241662725,4.67,5.96,7.25
JALNA,ssp245,10.1,9.83,9.57,22.57,22.06,21.56,6.29,6.03,5.77,0.0,0.0,0.0,0.2804320534070328,0.5304320534070328,0.7804320534070328,2.46,3.72,4.98
JALNA,ssp585,10.1,20.35,39.12,22.57,22.06,21.56,6.29,16.65,35.61,0.0,22.68,63.7,0.5804320534070329,1.0304320534070328,1.4804320534070328,2.46,3.72,4.98
KOLHAPUR,ssp245,29.36,44.28,49.86,63.32,64.39,65.47,20.05,31.17,32.86,0.59,36.1,51.47,0.2825651446978341,0.5325651446978341,0.7825651446978341,5.28,6.58,7.88
KOLHAPUR,ssp585,49.9,60.25,70.11,63.32,64.39,65.47,41.27,47.78,49.12,44.3,69.97,100.0,0.5825651446978342,1.032565144697834,1.482565144697834,5.28,6.58,7.88
LATUR,ssp245,4.8,5.05,6.97,11.3,11.96,12.61,2.41,2.47,4.22,0.0,0.0,3.61,0.1791942232185022,0.4291942232185022,0.6791942232185022,7.24,8.56,9.88
LATUR,ssp585,10.69,24.5,37.14,11.3,11.96,12.61,8.36,22.11,34.68,12.7,41.93,68.64,0.4791942232185022,0.9291942232185022,1.3791942232185022,7.24,8.56,9.88
MUMBAI,ssp245,,,,96.8,97.08,97.36,,,,0.0,0.0,1.32,,,,4.29,5.575,6.86
MUMBAI,ssp585,,,,96.8,97.08,97.36,,,,12.43,25.65,64.1,,,,4.29,5.57,6.86
MUMBAI SUBURBAN,ssp245,,,,98.86,99.0,99.15,,,,0.0,0.0,0.65,,,,4.87,6.16,7.45
