state,district,scenario,year,overall_risk_score,overall_risk_class,climate_confidence_score,flood_hazard_score,flood_hazard_class,drought_hazard_score,drought_hazard_class,ag_stress_score,ag_stress_class,water_availability_index,annual_rainfall_change_pct,temperature_anomaly,soil_moisture_deficit,water_security_index,heat_stress_days_35,cdd,cwd,extreme_rainfall_change_pct
MAHARASHTRA,AKOLA,ssp585,2030,15.16,Low Risk,,37.6,Moderate,5.7,Low,0.0,Low,1.0509,5.76,0.5567127658261264,0.0,52.54,101.6,78.64075752392327,17.35602098145568,5.76
MAHARASHTRA,AMRAVATI,ssp585,2030,15.99,Low Risk,,41.8,Moderate,3.88,Low,0.0,Low,1.0539,6.51,0.5620101286305321,0.0,52.7,73.9,71.84204663437593,21.216866004981817,6.51
MAHARASHTRA,BEED,ssp585,2030,17.33,Low Risk,,6.75,Low,42.76,Moderate,0.0,Low,1.0327,3.66,,0.0,51.64,33.3,70.12146436801007,16.24783155948713,3.66
MAHARASHTRA,BHANDARA,ssp585,2030,15.36,Low Risk,,42.96,Moderate,0.94,Low,0.0,Low,1.0442,5.45,0.5647395908832558,0.0,52.21,56.1,60.84599198546944,15.65232186795473,5.45
MAHARASHTRA,BULDHANA,ssp585,2030,12.7,Low Risk,,29.79,Moderate,6.5,Low,0.0,Low,1.0362,3.97,0.5870864517159078,0.0,51.81,103.5,81.66071375519918,17.423234503008654,3.97
MAHARASHTRA,CHANDRAPUR,ssp585,2030,13.74,Low Risk,,37.23,Moderate,2.03,Low,0.0,Low,1.0443,5.93,0.5248515400621614,0.0,52.22,113.7,64.91920457214331,17.463739349845085,5.93
MAHARASHTRA,CHHATRAPATI SAMBHAJI NAGAR,ssp585,2030,9.47,Low Risk,,18.34,Low,8.72,Low,0.0,Low,1.0294,3.05,0.5599188599321672,0.0,51.47,86.8,89.93744870231637,16.45820723224487,3.05
MAHARASHTRA,DHARASHIV,ssp585,2030,30.38,Moderate Risk,,4.41,Low,62.43,High,23.28,Low,1.0479,5.74,0.48486861189208524,0.0024814782719885086,51.39,88.6,68.99246102648749,15.383365720408605,5.74
MAHARASHTRA,DHULE,ssp585,2030,10.94,Low Risk,,24.81,Low,6.44,Low,0.0,Low,1.0536,6.87,0.5052773813406717,0.0,52.68,94.9,81.40613391197667,16.883148537693643,6.87
MAHARASHTRA,GADCHIROLI,ssp585,2030,14.31,Low Risk,,39.74,Moderate,1.14,Low,0.0,Low,1.0184,2.93,0.6022818942864838,0.0,50.92,101.0,61.6253136607447,20.301438391481135,2.93
